TOTAL_STIMULUS_REC: 423
NLP_parse_percentage_in_AF: 3.78451e-08
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
2748979098247929471, woodlice@93d827e4-7cb4-4285-9042-81c2b7de3694, 21:47:46:055, 21:48:01:067, 52.1983, 15.012, 0,  - , 18.6552
2750175366898899575, woodlice@93d827e4-7cb4-4285-9042-81c2b7de3694, 21:47:46:055, 21:48:01:067, 1092.39, 15.012, 0,  - , 26.9694
2754183282409548389, svo, 21:47:46:362, 21:47:51:035, 10.7276, 4.67341, 1,  - , 11.7521
2853472910299768191, .e, 21:47:46:055, 21:48:01:067, 97.4324, 15.012, 0,  - , 66.1352
2860651126997247448, world, 21:47:46:626, 21:47:47:719, 0.220307, 1.09304, 0, 1500, 0.333333
2931980191265983203, $var2, 21:47:46:900, 21:47:47:006, 0.273736, 0.105972, 1,  - , 2.52912
3111916936305182119, muscles, 21:47:46:362, 21:48:01:067, 49.0927, 14.7058, 0, 300, 1
3160399058037153182, butterflies@e3ac59ea-8d8f-4912-a131-3c2ace71a257, 21:47:52:479, 21:47:52:479, 12.2663, 0, 0,  - , 3
3198566075895678211, by, 21:47:46:362, 21:48:01:067, 710.97, 14.7058, 0, 2100, 6.25
3215070585177515821, pressure@ebb389f2-b5bd-443f-a43f-f8a3cb8baeb1, 21:47:48:033, 21:48:01:067, 910.641, 13.0346, 0,  - , 7.82243
3232565469192349606, the, 21:47:46:626, 21:47:47:436, 2.83394, 0.809603, 0, 22800, 1.33333
3293997036746300231, $interp, 21:47:46:259, 21:47:58:438, 36.0357, 12.1791, 1,  - , 21.8388
3343555454905260431, 2.000000, 21:47:46:055, 21:48:01:067, 96.3266, 15.012, 0,  - , 68.5969
3357476440582829550, LEFT-WALL@sentence@4d574e98-d30e-4aa9-997e-3c2d84b7bb04_parse_0, 21:47:49:557, 21:47:51:149, 12.7083, 1.59152, 0,  - , 22.4499
3360864708927675160, Wd, 21:47:46:362, 21:47:51:035, -7.59779, 4.67341, 1,  - , 5.58949
3361102829369163273, interrogative, 21:47:46:795, 21:47:48:716, 10.4796, 1.92093, 1,  - , 5.43833
3387051950918352550, ImperativeSpeechAct, 21:47:46:795, 21:48:06:296, 11.134, 19.5008, 1,  - , 3.62555
3417602172212037207, $N2, 21:47:47:006, 21:47:47:006, 0.273736, 0, 1,  - , 1.52912
3448135838316787350, $rel, 21:47:46:900, 21:47:47:006, 0.273736, 0.105972, 1,  - , 2.77912
3448571266500972573, 8.000000, 21:47:46:055, 21:48:01:067, 93.5745, 15.012, 0,  - , 51.0408
3455479908744708438, most@91f069a3-468c-410a-956d-8ad456fa5baf, 21:47:52:258, 21:48:01:067, 47.3066, 8.80974, 0,  - , 2
3494688496703189798, $qVar, 21:47:46:730, 21:47:46:795, 0.461303, 0.0648963, 1,  - , 3.96561
3495893681552687246, to, 21:47:47:115, 21:47:50:501, 3.36925, 3.38605, 1, 4800, 1
